,description,name
HZB_IJP_BL_7_3_C-JS180,20/100 Vac/GAVD,
HZB_Test_1_1_C-1,Spin_SAM,HZB_Test_1_1_C-1
HZB_IJP_BL_7_4_C-JS184,20/120 Vac/GAVD,
HZB_Test_1_1_C-7,Slot_SAM,
C-6_HZB_NormalRecipe_86_3,"INTER, 0.5",
C-9_HZB_NormalRecipe_86_5,NIO ME-4PACZ,
HZB_IJP_BL_7_3_C-JS177,20/100 Vac/GAVD,
HZB_IJP_BL_7_1_C-JS159,"faulty NiOx, 20/100 Vac/GAVD",
HZB_Test_1_1_C-9,Slot_SAM,
C-13_HZB_NormalRecipe_86_7,"NIO ME-4PACZ, 0.5 INSIDE",
C-4_HZB_NormalRecipe_86_2,"INTER, 0.2",
HZB_IJP_BL_7_3_C-JS179,20/100 Vac/GAVD,
HZB_IJP_BL_7_4_C-JS183,20/120 Vac/GAVD,
HZB_IJP_BL_7_2_C-JS174,20/80 Vac/GAVD,
HZB_Test_1_1_C-5,Spin_SAM,
HZB_IJP_BL_7_3_C-JS178,20/100 Vac/GAVD,
HZB_Test_1_1_C-4,Spin_SAM,
C-10_HZB_NormalRecipe_86_5,NIO ME-4PACZ,
HZB_IJP_BL_7_2_C-JS173,20/80 Vac/GAVD,
HZB_Test_1_1_C-8,Slot_SAM,
HZB_Test_1_1_C-3,Spin_SAM,
HZB_IJP_BL_7_5_C-JS187,20/140 Vac/GAVD,
HZB_Test_1_1_C-10,Slot_SAM,
C-11_HZB_NormalRecipe_86_6,"NIO ME-4PACZ, 0.5 INTER",
HZB_IJP_BL_7_1_C-JS158,"faulty NiOx, 20/100 Vac/GAVD",
HZB_Test_1_1_C-2,Spin_SAM,
C-8_HZB_NormalRecipe_86_4,inter 1,
HZB_IJP_BL_7_2_C-JS175,20/80 Vac/GAVD,
C-12_HZB_NormalRecipe_86_6,"NIO ME-4PACZ, 0.5 INTER",
HZB_IJP_BL_7_3_C-JS176,20/100 Vac/GAVD,
HZB_IJP_BL_7_5_C-JS186,20/140 Vac/GAVD,
C-5_HZB_NormalRecipe_86_3,"INTER, 0.5",
C-3_HZB_NormalRecipe_86_2,"INTER, 0.2",
HZB_IJP_BL_7_4_C-JS182,20/120 Vac/GAVD,
C-7_HZB_NormalRecipe_86_4,inter 1,
HZB_IJP_BL_7_3_C-JS181,20/100 Vac/GAVD,
C-2_HZB_NormalRecipe_86_1,control,
C-14_HZB_NormalRecipe_86_7,"NIO ME-4PACZ, 0.5 INSIDE",
HZB_IJP_BL_7_1_C-JS160,"faulty NiOx, 20/100 Vac/GAVD",
C-1_HZB_NormalRecipe_86_1,control,
HZB_Test_1_1_C-6,Slot_SAM,
HZB_IJP_BL_7_1_C-JS161,"faulty NiOx, 20/100 Vac/GAVD",
HZB_IJP_BL_7_5_C-JS185,20/140 Vac/GAVD,
