,,entry_names,entry_description,plot,name
hzb_EdNa_AA_1_c-1,0,hzb_EdNa_AA_1_c-1 MPPT_sample_0_pixel_2,Notes from file name: MPPT_sample_0_pixel_2,False,
hzb_EdNa_AA_1_c-1,1,hzb_EdNa_AA_1_c-1 MPPT_sample_0_pixel_0,Notes from file name: MPPT_sample_0_pixel_0,False,
hzb_EdNa_AA_1_c-1,2,hzb_EdNa_AA_1_c-1 MPPT_sample_0_pixel_5,Notes from file name: MPPT_sample_0_pixel_5,False,
hzb_EdNa_AA_1_c-1,3,hzb_EdNa_AA_1_c-1 MPPT_sample_0_pixel_3,Notes from file name: MPPT_sample_0_pixel_3,False,
hzb_EdNa_AA_1_c-1,4,hzb_EdNa_AA_1_c-1 MPPT_sample_1_pixel_0,Notes from file name: MPPT_sample_1_pixel_0,False,
hzb_EdNa_AA_1_c-1,5,hzb_EdNa_AA_1_c-1 MPPT_sample_0_pixel_1,Notes from file name: MPPT_sample_0_pixel_1,False,
hzb_EdNa_AA_1_c-1,6,hzb_EdNa_AA_1_c-1 MPPT_sample_0_pixel_4,Notes from file name: MPPT_sample_0_pixel_4,False,
hzb_EdNa_AA_1_c-6,0,hzb_EdNa_AA_1_c-6 MPPT_sample_4_pixel_0,Notes from file name: MPPT_sample_4_pixel_0,False,
hzb_EdNa_AA_1_c-6,1,hzb_EdNa_AA_1_c-6 MPPT_sample_3_pixel_5,Notes from file name: MPPT_sample_3_pixel_5,False,
hzb_EdNa_AA_1_c-6,2,hzb_EdNa_AA_1_c-6 MPPT_sample_4_pixel_2,Notes from file name: MPPT_sample_4_pixel_2,False,
hzb_EdNa_AA_1_c-6,3,hzb_EdNa_AA_1_c-6 MPPT_sample_4_pixel_1,Notes from file name: MPPT_sample_4_pixel_1,False,
hzb_EdNa_AA_1_c-6,4,hzb_EdNa_AA_1_c-6 MPPT_sample_4_pixel_3,Notes from file name: MPPT_sample_4_pixel_3,False,
hzb_EdNa_AA_1_c-6,5,hzb_EdNa_AA_1_c-6 MPPT_sample_3_pixel_4,Notes from file name: MPPT_sample_3_pixel_4,False,
